Event,Site,Date,White,Black,WhiteElo,BlackElo,Opening Code,Result,Termination,Moves,Outcome,Opening
Live Chess,Chess.com,2022-03-09,bensalahdhouha,omarsayeh,327,233,A40,1-0,bensalahdhouha won by checkmate,"['d2d4', 'e7e6', 'c1f4', 'f8e7', 'e2e4', 'f7f6', 'f1b5', 'c7c6', 'g1f3', 'c6b5', 'e4e5', 'f6e5', 'f4e5', 'b5b4', 'e5g7', 'd7d6', 'g7h8', 'h7h6', 'd4d5', 'e6d5', 'd1d5', 'e8f8', 'g2g4', 'e7h4', 'd5a5', 'h4f2', 'e1f2', 'c8g4', 'a5d8', 'f8f7', 'd8d6', 'g4f3', 'f2f3', 'g8e7', 'd6h6', 'b7b5', 'h6h5', 'f7e6', 'h5b5', 'b8d7', 'b5b4', 'a8h8', 'h1d1', 'h8h2', 'b4b5', 'e6f7', 'b5d7', 'h2c2', 'd1d6', 'c2b2', 'a2a4', 'f7g8', 'd7e7', 'b2e2', 'e7e2', 'a7a5', 'e2e6', 'g8h8', 'd6d8', 'h8h7', 'e6f7', 'h7h6', 'f7f4', 'h6h5', 'd8d5', 'h5g6', 'f4f5', 'g6g7', 'a1a3', 'g7g8', 'a3b3', 'g8h8', 'b3b8', 'h8g7', 'f5g5', 'g7f7', 'd5d7', 'f7e6', 'g5e5', 'e6d7', 'b1c3', 'd7c6', 'c3d5', 'c6d7', 'd5b6', 'd7c6', 'e5a5', 'c6c7', 'a5c5', 'c7b8', 'c5d6', 'b8b7', 'a4a5', 'b7a6', 'd6b4', 'a6b7', 'b4b5', 'b7b8', 'a5a6', 'b8c7', 'a6a7', 'c7d8', 'a7a8q', 'd8c7', 'b6c8', 'c7d8', 'a8a5', 'd8c8', 'b5c6', 'c8b8', 'a5b6']",Lost as Black,A40: Queen's pawn
Live Chess,Chess.com,2022-03-09,omarsayeh,bensalahdhouha,456,160,A00,1-0,omarsayeh won on time,"['d2d3', 'e7e5', 'b1c3', 'd8e7', 'c1d2', 'e7h4', 'd2e3', 'g8h6', 'g2g3', 'h4g4', 'e3c1', 'h6f5', 'h2h3', 'g4b4', 'g3g4', 'f5d4', 'a2a3', 'b4c5', 'c1e3', 'd7d5', 'b2b4', 'c5c3', 'e3d2', 'c3c6', 'c2c3', 'd4b3', 'd1b3', 'c8e6', 'b3d1', 'e5e4', 'd3e4', 'd5e4', 'e2e3', 'h7h5', 'g4h5', 'h8h5', 'f1g2', 'h5g5', 'g2f1', 'c6d6', 'g1e2', 'g5f5', 'c3c4', 'e6c4', 'd1c2']",Won as White,A00: Polish (Sokolsky) opening
Live Chess,Chess.com,2022-03-10,HAKAIARASH,omarsayeh,100,207,B07,0-1,omarsayeh won by checkmate,"['e2e4', 'd7d6', 'd2d3', 'e7e5', 'f2f3', 'g8f6', 'g2g4', 'h7h6', 'h2h3', 'c7c5', 'c2c4', 'b8c6', 'b2b3', 'c6d4', 'a2a4', 'd4b3', 'a1a3', 'b3a1', 'a3a1', 'g7g5', 'a4a5', 'c8e6', 'h3h4', 'g5h4', 'h1h4', 'd6d5', 'e4d5', 'e6d7', 'h4h5', 'f8d6', 'h5e5', 'd6e5', 'd3d4', 'c5d4', 'f3f4', 'e5f4', 'c1f4', 'd7g4', 'f4c1', 'g4d1', 'e1d1', 'e8g8', 'a1a2', 'a7a6', 'a2d2', 'b7b5', 'c4b5', 'a6b5', 'd2d4', 'a8a5', 'd4d2', 'a5a1', 'd2b2', 'f6d5', 'b2b5', 'd5c7', 'b5d5', 'c7d5', 'b1a3', 'f7f5', 'd1d2', 'f5f4', 'f1d3', 'd8a5', 'd2e2', 'a1c1', 'g1f3', 'c1a1', 'a3c2', 'h6h5', 'e2f2', 'h5h4', 'f3h4', 'a1c1', 'h4g6', 'a5b6', 'f2e2', 'b6c6', 'g6f8', 'g8g7', 'c2a3', 'c1c3', 'f8g6', 'c3a3', 'e2d2', 'f4f3', 'd2e1', 'a3d3', 'e1f2', 'c6g6', 'f2e1', 'g6g1']",Won as Black,B07: Pirc defence
Live Chess,Chess.com,2022-03-10,omarsayeh,daneer_aisha,187,155,A06,1-0,omarsayeh won by checkmate,"['g1f3', 'd7d5', 'b1c3', 'e7e6', 'd2d4', 'g8f6', 'c1g5', 'f8e7', 'f3e5', 'd8d6', 'e5f7', 'e8f7', 'h2h4', 'f7e8', 'g2g3', 'h7h6', 'g5e3', 'g7g6', 'b2b4', 'a7a5', 'b4a5', 'b7b6', 'a5b6', 'c7b6', 'e3f4', 'd6c5', 'c3a4', 'c5a5', 'a4c3', 'a5b4', 'd1d2', 'e8f7', 'e2e3', 'h8e8', 'f4h6', 'e8h8', 'h6f4', 'h8e8', 'a2a3', 'b4b2', 'd2d1', 'b2a3', 'a1a3', 'a8a3', 'd1c1', 'a3c3', 'f1b5', 'e7b4', 'b5e8', 'f7e8', 'f4b8', 'g6g5', 'c1a1', 'c3c2', 'e1f1', 'c8a6', 'a1a6', 'c2c1', 'f1g2', 'f6e4', 'h1c1', 'b4d2', 'c1d1', 'g5h4', 'g3h4', 'e4c3', 'd1d2', 'c3e4', 'a6b6', 'e4d2', 'b6e6', 'e8f8', 'e6d5', 'd2b1', 'h4h5', 'b1c3', 'h5h6', 'c3d5', 'h6h7', 'f8g7', 'h7h8q', 'g7h8', 'e3e4', 'd5f4', 'g2f1', 'f4d3', 'f2f3', 'd3f4', 'b8f4', 'h8g8', 'f4e5', 'g8f8', 'd4d5', 'f8e8', 'd5d6', 'e8d8', 'e5f6', 'd8d7', 'e4e5', 'd7e6', 'f6g7', 'e6d5', 'd6d7', 'd5d4', 'd7d8q', 'd4c3', 'd8c8', 'c3d3', 'e5e6', 'd3d2', 'f1g2', 'd2e2', 'e6e7', 'e2e3', 'e7e8q', 'e3d3', 'f3f4', 'd3d2', 'f4f5', 'd2d3', 'f5f6', 'd3d2', 'f6f7', 'd2d3', 'f7f8q', 'd3d2', 'e8d8', 'd2e2', 'c8b8', 'e2e3', 'b8b3', 'e3e2', 'f8e8']",Won as White,A06: Reti opening
Live Chess,Chess.com,2022-03-10,omarsayeh,M4rkyM4ark,152,219,A02,1-0,omarsayeh won - game abandoned,"['f2f4', 'e7e5', 'f4e5', 'f8c5', 'g1f3', 'd7d6', 'f3g5', 'd8g5', 'e2e3', 'd6e5', 'c2c3', 'c8g4', 'f1e2', 'g8f6', 'd2d4', 'e5d4', 'c3d4', 'c5b4', 'e1f1', 'g4e2', 'd1e2', 'b4d6', 'a2a3', 'b8c6', 'h2h3']",Won as White,A02: Bird's opening
Live Chess,Chess.com,2022-03-10,omarsayeh,Lincolnmccoywendt,106,147,A40,0-1,Lincolnmccoywendt won by checkmate,"['d2d4', 'e7e6', 'f2f4', 'f8b4', 'c2c3', 'b4a5', 'b2b4', 'a5b6', 'e2e3', 'b8a6', 'a2a3', 'd7d6', 'c1d2', 'e6e5', 'f4e5', 'd6e5', 'd4e5', 'g8h6', 'd1h5', 'c8g4', 'h5h4', 'g7g5', 'h4f2', 'h6f5', 'f1b5', 'c7c6', 'b5e2', 'f5h6', 'e2g4', 'h6g4', 'h2h3', 'g4f2', 'e1f2', 'b6c7', 'f2e1', 'c7e5', 'd2c1', 'd8f6', 'b1d2', 'f6f5', 'g2g4', 'f5e6', 'd2e4', 'h8f8', 'e4g5', 'e6g6', 'g5e4', 'g6e4', 'g1e2', 'f8g8', 'h1f1', 'g8g6', 'a1b1', 'e4b1', 'e2d4', 'b1d3', 'd4f5', 'g6f6', 'f5g7', 'e8f8', 'h3h4', 'd3f1', 'e1d2', 'f6f2']",Lost as White,A40: Queen's pawn
Live Chess,Chess.com,2022-03-10,omarsayeh,LeoSantos12,147,274,A00,0-1,LeoSantos12 won by checkmate,"['d2d4', 'd7d5', 'b1c3', 'b8c6', 'c1e3', 'c8e6', 'd1d2', 'f7f5', 'e1c1', 'g8f6', 'c1b1', 'f6h5', 'd2d3', 'f5f4', 'e3f4', 'h5f4', 'e2e3', 'f4d3', 'd1d3', 'e6f5', 'c3d5', 'd8d5', 'f2f4', 'd5a5', 'd3d1', 'a8d8', 'g1f3', 'c6d4', 'f3d4', 'd8d4', 'e3d4', 'f5d7', 'd1c1', 'e7e6', 'c2c3', 'f8e7', 'b2b4', 'a5b6', 'a2a3', 'a7a5', 'b1a1', 'c7c6', 'b4a5', 'b6a5', 'f1c4', 'b7b5', 'c4a2', 'e7d6', 'c3c4', 'd6f4', 'c4b5', 'f4c1', 'b5c6', 'd7c6', 'h1c1', 'a5a6', 'a2e6', 'h8f8', 'e6g4', 'c6g2', 'h2h4', 'f8f1', 'g4d1', 'a6b7', 'c1c2', 'f1g1', 'a3a4', 'b7a7', 'c2c4', 'g1d1', 'a1b2', 'a7b7', 'b2a3', 'g2f1', 'a4a5', 'f1c4', 'a3a4', 'd1a1']",Lost as White,A00: Polish (Sokolsky) opening
Live Chess,Chess.com,2022-03-10,Qopop,omarsayeh,186,200,C20,0-1,omarsayeh won - game abandoned,"['e2e4', 'e7e5', 'd2d3', 'b8c6', 'b1a3', 'g8f6', 'a3b5', 'c6e7', 'b5c7', 'd8c7', 'c2c4', 'g7g5', 'c1g5', 'f8g7', 'g5f6', 'g7f6', 'g1h3', 'e8g8', 'd3d4', 'd7d6', 'd1f3', 'f6g7', 'd4e5', 'd6e5', 'f3g4', 'f7f5', 'e4f5', 'e7f5', 'g4f5', 'f8f5', 'h3g5', 'f5g5', 'f2f4', 'e5f4', 'a1d1', 'c7c4', 'b2b4', 'c4b4', 'e1f2', 'c8g4', 'd1b1', 'b4b1', 'f1c4', 'g8h8', 'h1b1', 'g7d4', 'f2e1', 'f4f3', 'g2f3', 'g4f3', 'b1b7', 'f3h1', 'b7b2', 'd4b2', 'h2h4', 'g5h5', 'a2a4', 'h5h4', 'e1e2', 'h4c4', 'e2e3', 'a8e8', 'e3f2', 'c4c2']",Won as Black,C20: King's pawn game
Live Chess,Chess.com,2022-03-10,omarsayeh,anju123singh,141,322,A00,0-1,anju123singh won by resignation,"['b1c3', 'e7e5', 'd2d3', 'b8c6', 'g1f3', 'g8f6', 'b2b3', 'd7d6', 'c1a3', 'c8g4', 'h2h3', 'g4h5', 'g2g4', 'h5g6', 'g4g5', 'f6h5', 'c3d5', 'f7f6', 'd5f6', 'g7f6', 'g5f6', 'd8f6', 'c2c3', 'd6d5', 'f3e5', 'c6e5', 'd3d4', 'f8a3', 'd4e5', 'f6e5', 'h1h2', 'e5h2', 'd1d5', 'a3b2', 'd5b7', 'a8d8', 'b7a7', 'b2a1', 'c3c4', 'h8f8', 'a7a4', 'd8d7', 'b3b4', 'f8f2', 'b4b5', 'f2e2', 'f1e2', 'd7e7', 'c4c5', 'h2h1', 'e1d2', 'h1h2', 'a4d1', 'e7e2', 'd1e2', 'h2e2', 'd2e2', 'g6f5', 'c5c6', 'f5h3', 'b5b6', 'e8d8', 'b6c7', 'd8c7', 'a2a4', 'h5f4', 'e2d1', 'h7h5', 'a4a5', 'h3c8', 'd1c2', 'c7c6', 'c2b3', 'h5h4']",Lost as White,A00: Polish (Sokolsky) opening
Live Chess,Chess.com,2022-03-10,patou46,omarsayeh,118,149,B00,1-0,patou46 won by checkmate,"['e2e4', 'b8c6', 'd2d4', 'c6d4', 'c1e3', 'c7c5', 'b1c3', 'b7b6', 'f1d3', 'g8f6', 'g1f3', 'g7g6', 'e1g1', 'f6h5', 'c3d5', 'e7e6', 'd5b6', 'c8b7', 'b6a8', 'd8a8', 'd3b5', 'a8d8', 'e3g5', 'f7f6', 'c2c4', 'b7e4', 'f3d4', 'c5d4', 'c4c5', 'f6g5', 'c5c6', 'd7d6', 'c6c7', 'e8f7', 'c7d8q', 'f8g7', 'd8d6', 'g7f8', 'd6d4', 'e4f5', 'b5e2', 'f7g8', 'd4h8', 'g8h8', 'b2b4', 'f8b4', 'd1d4', 'h8g8', 'd4b4', 'h5f4', 'a1e1', 'f5c2', 'e1b1', 'f4e2', 'g1h1', 'e6e5', 'b1c1', 'c2d3', 'f1e1', 'e2c1', 'e1c1', 'h7h5', 'c1d1', 'd3e2', 'd1d8', 'g8h7', 'd8d7', 'h7g8', 'b4b8']",Lost as Black,B00: King's pawn opening
